acc,d2o,length,n_go_exp,cluster,n_dis_regions,total_dis_len
P98177,0,505,36,561,3.0,44.0
Q00169,0,270,28,895,4.0,194.0
Q00266,0,395,15,736,1.0,13.0
Q00534,0,326,114,821,6.0,71.0
Q00653,0,900,41,217,1.0,24.0
Q00987,0,491,319,585,5.0,395.0
Q01081,1,240,68,930,1.0,115.0
Q01094,1,437,104,664,1.0,102.0
Q01101,1,510,27,552,1.0,20.0
Q01105,0,290,55,869,1.0,21.0
Q01433,0,825,14,263,3.0,93.0
Q01484,0,3957,55,4,6.0,139.0
Q01831,1,940,52,196,5.0,521.0
Q01968,0,901,71,216,1.0,33.0
Q01970,0,1234,24,115,2.0,455.0
Q02078,0,507,47,557,1.0,12.0
Q02297,0,640,77,401,5.0,252.0
Q02363,0,134,51,1096,1.0,23.0
Q02388,0,2944,9,10,2.0,78.0
Q02413,0,1049,34,158,3.0,828.0
Q02548,1,391,41,643,3.0,65.0
Q03164,0,3969,91,3,1.0,21.0
Q03518,0,748,72,315,1.0,112.0
Q03519,0,686,48,364,1.0,129.0
Q03692,0,680,18,10,1.0,28.0
Q04206,0,551,362,500,2.0,248.0
Q04637,1,1599,97,57,8.0,1474.0
Q04656,0,1500,37,67,1.0,52.0
Q05193,0,864,53,238,4.0,60.0
Q05397,0,1052,131,155,1.0,19.0
Q06141,0,175,12,1043,3.0,31.0
Q06609,0,339,202,806,3.0,65.0
Q06710,0,450,48,643,3.0,63.0
Q06787,1,632,174,410,4.0,590.0
Q07108,0,199,23,1008,1.0,21.0
Q07157,0,1748,440,48,4.0,1045.0
Q07666,0,443,92,654,5.0,263.0
Q07812,1,192,201,1024,1.0,35.0
Q07817,0,233,199,933,4.0,215.0
Q07820,0,350,87,796,3.0,31.0
Q07866,0,573,18,477,1.0,24.0
Q07889,0,1333,71,97,4.0,683.0
Q07912,0,1038,51,163,1.0,42.0
Q07955,1,248,65,921,3.0,87.0
Q08050,0,763,51,304,5.0,327.0
Q08188,0,693,18,359,2.0,20.0
Q08209,1,521,111,535,6.0,350.0
Q09161,0,790,94,286,3.0,51.0
Q09428,0,1581,9,59,1.0,56.0
Q09472,1,2414,297,21,5.0,2085.0
Q0JRZ9,0,810,11,275,1.0,16.0
Q10567,0,949,28,192,1.0,13.0
Q10589,0,180,42,1036,1.0,11.0
Q12778,0,655,72,391,2.0,42.0
Q12834,0,499,78,572,2.0,107.0
Q12888,0,1972,147,31,5.0,1701.0
Q12905,0,390,30,744,1.0,29.0
Q12962,0,218,45,971,4.0,150.0
Q12972,0,351,27,794,2.0,96.0
Q12983,0,194,131,1022,1.0,13.0
Q13029,0,1718,11,50,4.0,408.0
Q13042,0,620,24,423,6.0,365.0
Q13043,0,487,138,586,2.0,152.0
Q13137,0,446,223,648,3.0,79.0
Q13148,1,414,268,708,4.0,601.0
Q13153,0,545,170,505,5.0,319.0
Q13162,0,271,21,892,1.0,75.0
Q13164,0,816,37,273,1.0,46.0
Q13177,1,524,89,505,5.0,261.0
Q13188,0,491,131,586,1.0,114.0
Q13224,0,1484,67,71,4.0,75.0
Q13316,0,513,2,547,8.0,1988.0
Q13351,1,362,36,781,4.0,184.0
Q13363,0,440,141,658,1.0,22.0
Q13415,0,861,27,242,2.0,31.0
Q13426,0,336,133,812,3.0,332.0
Q13451,0,457,64,632,1.0,12.0
Q13464,0,1354,64,94,1.0,19.0
Q13469,0,925,33,194,1.0,164.0
Q13480,0,694,75,357,4.0,824.0
Q13485,0,552,273,497,,
Q13501,0,440,279,659,2.0,92.0
Q13526,0,163,258,1060,1.0,12.0
Q13541,1,118,62,1114,5.0,471.0
Q13542,1,120,17,1114,2.0,165.0
Q13546,1,671,157,376,4.0,350.0
Q13547,0,482,352,596,1.0,106.0
Q13563,0,968,156,183,2.0,28.0
Q13568,0,498,41,573,1.0,10.0
Q13569,1,410,49,717,3.0,182.0
Q13573,1,536,200,515,4.0,284.0
Q13586,0,685,103,365,1.0,10.0
Q13613,0,665,28,380,1.0,94.0
Q13617,0,745,68,317,4.0,62.0
Q13625,0,1128,95,137,5.0,1538.0
Q13627,0,763,86,305,2.0,20.0
Q13635,0,1447,62,78,5.0,598.0
Q13698,0,1873,24,41,3.0,368.0
Q13740,0,583,26,465,1.0,338.0
Q13838,0,428,58,675,2.0,22.0
Q14011,0,172,34,1049,1.0,83.0
Q14019,0,142,12,1083,1.0,11.0
Q14061,1,63,14,1163,9.0,409.0
Q14118,0,895,52,221,3.0,45.0
Q14181,0,598,21,446,1.0,156.0
Q14191,0,1432,122,79,1.0,29.0
Q14194,0,572,25,478,2.0,90.0
Q14258,0,630,48,414,1.0,73.0
Q14318,0,412,75,712,4.0,105.0
Q14444,0,709,44,346,1.0,103.0
Q14449,1,540,11,510,1.0,75.0
Q14457,1,450,228,644,15.0,1255.0
Q14493,0,270,20,896,1.0,25.0
Q14565,0,340,40,806,3.0,120.0
Q14653,0,427,116,678,1.0,16.0
Q14691,0,196,11,1017,1.0,51.0
Q14722,0,419,16,692,1.0,62.0
Q14766,0,1721,35,49,3.0,71.0
Q14849,0,445,35,649,1.0,15.0
Q14978,0,699,19,352,5.0,3495.0
Q14995,0,579,30,469,2.0,20.0
Q15004,0,111,27,1126,4.0,444.0
Q15013,0,274,36,887,2.0,40.0
Q15022,1,739,52,323,11.0,452.0
Q15046,1,597,74,447,1.0,70.0
Q15059,0,726,18,93,2.0,210.0
Q15109,0,404,76,724,2.0,82.0
Q15113,0,449,19,645,5.0,67.0
Q15185,0,160,46,1064,1.0,38.0
Q15233,0,471,60,613,2.0,25.0
Q15276,0,862,60,240,1.0,20.0
Q15326,0,602,23,440,1.0,24.0
Q15382,1,184,54,1029,1.0,11.0
Q15418,0,735,101,329,5.0,185.0
Q15517,0,529,11,521,1.0,112.0
Q15542,0,800,29,280,2.0,49.0
Q15582,0,683,26,368,3.0,87.0
Q15583,0,401,30,729,3.0,124.0
Q15596,0,1464,29,76,1.0,206.0
Q15631,0,228,22,954,1.0,11.0
Q15637,0,639,65,404,2.0,52.0
Q15642,0,601,38,441,1.0,15.0
Q15691,0,268,147,898,2.0,30.0
Q15717,0,326,54,822,1.0,19.0
Q15726,0,138,9,1088,5.0,595.0
Q15796,1,467,158,618,5.0,83.0
Q15797,0,465,89,618,1.0,51.0
Q15843,1,81,51,1156,1.0,13.0
Q15858,0,1988,20,29,4.0,844.0
Q15910,1,746,117,312,8.0,291.0
Q16143,0,134,12,1086,1.0,134.0
Q16186,0,407,44,721,4.0,197.0
Q16222,0,522,9,531,2.0,32.0
Q16236,0,605,138,438,4.0,2420.0
Q16543,0,378,303,761,3.0,75.0
Q16576,0,425,50,683,2.0,38.0
Q16595,0,210,60,986,2.0,26.0
Q16611,1,211,106,983,1.0,35.0
Q16620,0,822,17,268,1.0,42.0
Q16625,0,522,43,532,1.0,33.0
Q16629,0,238,32,936,3.0,90.0
Q16630,0,551,83,501,4.0,190.0
Q16647,0,500,25,570,1.0,12.0
Q16665,1,826,239,262,9.0,1531.0
Q16667,0,212,19,981,2.0,34.0
Q16740,0,277,39,886,2.0,44.0
Q16790,0,459,15,628,6.0,594.0
Q16821,0,1122,0,138,2.0,77.0
Q16831,0,310,5,845,1.0,15.0
Q17RS7,0,908,18,212,1.0,65.0
Q29983,0,383,31,752,2.0,20.0
Q2KHT3,0,1053,8,154,2.0,322.0
Q2M1P5,0,1343,12,95,4.0,270.0
Q2MKA7,1,263,23,904,1.0,16.0
Q2TAZ0,0,1938,23,34,20.0,1091.0
Q3MIT2,0,529,28,522,2.0,62.0
Q3SYG4,0,887,50,225,4.0,162.0
Q49AN0,1,593,55,452,3.0,312.0
Q4LE39,0,1312,16,98,1.0,42.0
Q53FT3,0,197,11,1015,1.0,19.0
Q53GG5,1,364,6,777,3.0,501.0
Q53TN4,0,286,37,876,1.0,56.0
Q58F21,0,947,4,193,3.0,593.0
Q5D1E8,0,599,73,445,2.0,60.0
Q5FWF5,0,840,16,256,2.0,29.0
Q5HYA8,0,995,19,175,4.0,112.0
Q5JRX3,0,1037,18,164,1.0,14.0
Q5SQI0,0,421,12,687,2.0,52.0
Q5SWA1,0,713,20,342,3.0,1113.0
Q5T1C6,0,240,22,931,1.0,26.0
Q5T4W7,0,220,4,966,1.0,13.0
Q5T848,1,1215,11,120,10.0,426.0
Q5TDH0,0,399,18,732,2.0,39.0
Q5U651,0,963,11,185,4.0,58.0
Q5VZK9,0,1371,23,89,1.0,16.0
Q658P3,0,488,9,589,1.0,28.0
Q676U5,0,607,57,435,2.0,46.0
Q68D10,0,685,9,366,1.0,34.0
Q68DK7,0,614,14,429,1.0,11.0
Q68J44,0,220,24,967,2.0,44.0
Q6BDI9,0,236,13,940,2.0,28.0
Q6DD88,0,541,28,508,1.0,21.0
Q6FI81,0,312,30,841,1.0,94.0
Q6GQQ9,0,843,81,254,2.0,67.0
Q6NUK1,1,477,19,605,5.0,90.0
Q6P1M3,0,1020,9,170,2.0,92.0
Q6P1X5,0,1199,19,124,1.0,223.0
Q6P3W2,0,149,4,1073,2.0,26.0
Q6P4R8,0,1299,18,101,1.0,13.0
Q6P5W5,0,647,17,397,2.0,150.0
Q6PHW0,1,289,12,871,3.0,70.0
Q6PI48,0,645,36,399,1.0,15.0
Q6R327,0,1708,90,52,2.0,785.0
Q6V1X1,1,898,19,219,2.0,74.0
Q6VMQ6,0,1270,17,107,1.0,27.0
Q6ZMT4,0,941,12,195,1.0,31.0
Q6ZNA4,0,994,49,176,2.0,98.0
Q6ZT98,0,887,9,226,3.0,135.0
Q6ZVN8,0,426,30,680,1.0,16.0
Q71UI9,0,128,6,1099,1.0,10.0
Q76LA1,0,98,0,1147,1.0,67.0
Q7KZF4,0,910,31,211,1.0,10.0
Q7KZI7,1,788,70,287,2.0,29.0
Q7L2J0,1,689,31,362,3.0,80.0
Q7RTN6,0,431,36,673,3.0,127.0
Q7RTP6,0,2002,11,30,1.0,110.0
Q7Z3C6,0,839,89,257,4.0,392.0
Q86TV6,0,843,15,255,4.0,110.0
Q86UE8,0,772,36,296,1.0,200.0
Q86UX7,0,667,13,369,2.0,166.0
Q86VN1,0,386,30,750,1.0,21.0
Q86VY4,0,417,8,701,3.0,632.0
Q86WV6,0,379,211,760,3.0,110.0
Q86WX3,0,136,21,1090,2.0,272.0
Q86XI6,0,285,8,877,2.0,56.0
Q86Y38,0,959,16,188,1.0,20.0
Q86YV5,0,1406,8,84,5.0,70.0
Q8IU57,0,520,9,539,1.0,30.0
Q8IUQ4,0,282,145,880,1.0,35.0
Q8IV16,0,184,19,1030,4.0,136.0
Q8IVG9,0,24,60,159,2.0,48.0
Q8IVH4,0,418,22,697,2.0,28.0
Q8IVH8,0,894,15,222,1.0,66.0
Q8IW19,0,511,78,550,2.0,84.0
Q8IW75,0,414,4,709,1.0,11.0
Q8IWJ2,0,1684,24,55,1.0,23.0
Q8IY63,0,956,29,189,2.0,414.0
Q8IYB3,0,904,17,215,2.0,809.0
Q8IYB8,0,786,52,289,4.0,69.0
Q8IYT8,0,1036,6,165,1.0,10.0
Q8IYV9,0,350,9,797,2.0,26.0
Q8IYW5,0,571,71,479,1.0,18.0
Q8IZD2,0,1858,25,43,1.0,17.0
Q8N114,0,240,16,932,1.0,115.0
Q8N1G2,0,835,7,259,1.0,15.0
Q8N1Q8,0,247,6,922,1.0,10.0
Q8N300,0,66,26,1162,1.0,23.0
Q8N3I7,0,341,24,804,2.0,102.0
Q8N3V7,0,929,12,199,3.0,1067.0
Q8N465,0,521,11,536,1.0,51.0
Q8N488,1,228,92,955,3.0,491.0
Q8N4Q1,0,142,24,1084,1.0,36.0
Q8N5F7,0,415,25,706,5.0,1098.0
Q8N5H7,0,860,30,244,1.0,14.0
Q8N5K1,0,135,74,1091,1.0,16.0
Q8N5Y2,0,521,13,537,2.0,32.0
Q8N660,0,670,0,377,5.0,526.0
Q8N6T7,0,355,143,788,4.0,206.0
Q8N726,1,132,79,1097,3.0,222.0
Q8N807,0,584,1,463,2.0,96.0
Q8N884,0,522,156,533,1.0,17.0
Q8NBI3,1,349,3,798,1.0,221.0
Q8NBP7,1,692,67,361,1.0,30.0
Q8NBZ7,0,420,18,690,1.0,26.0
Q8NC51,0,408,28,720,2.0,241.0
Q8NE35,0,698,23,353,3.0,1278.0
Q8NEB9,0,887,86,227,7.0,182.0
Q8NER1,0,839,12,232,1.0,99.0
Q8NET8,0,790,31,232,1.0,118.0
Q8NFJ9,0,593,58,453,1.0,20.0
Q8NG31,1,2342,40,24,3.0,54.0
Q8NHZ8,0,85,19,1155,1.0,60.0
Q8NI22,1,146,20,1078,8.0,481.0
Q8TAP9,0,179,9,1038,2.0,155.0
Q8TDP1,0,164,6,1059,3.0,59.0
Q8TDX7,0,302,95,854,2.0,33.0
Q8TDY2,0,1594,56,58,1.0,10.0
Q8TEA8,1,209,2,989,1.0,58.0
Q8TEK3,0,1537,26,62,1.0,84.0
Q8TEP8,0,2537,22,19,2.0,31.0
Q8TEQ6,0,1508,56,65,1.0,116.0
Q8WUG5,0,649,3,396,2.0,210.0
Q8WUM0,0,1156,38,129,3.0,125.0
Q8WUN7,0,234,13,945,1.0,20.0
Q8WUP2,0,373,24,769,2.0,100.0
Q8WV28,0,456,28,634,2.0,376.0
Q8WVM7,0,1258,29,108,4.0,318.0
Q8WVQ1,0,401,19,730,1.0,14.0
Q8WXC6,0,57,19,1166,2.0,97.0
Q8WXE9,0,905,12,213,2.0,71.0
Q8WXS3,0,145,4,1079,1.0,180.0
Q8WYP5,0,2266,16,26,1.0,1249.0
Q8WZ42,0,34350,88,0,2.0,2178.0
Q92499,0,740,44,321,1.0,14.0
Q92540,0,1137,16,130,1.0,33.0
Q92558,0,559,30,490,5.0,365.0
Q92574,0,1164,72,126,1.0,15.0
Q92597,0,394,43,737,2.0,166.0
Q92608,0,1830,55,45,5.0,258.0
Q92731,0,530,44,450,2.0,206.0
Q92743,1,480,30,601,2.0,26.0
Q92783,0,540,31,511,1.0,31.0
Q92784,0,378,5,740,5.0,423.0
Q92785,0,391,27,740,1.0,15.0
Q92793,0,2442,168,21,6.0,2241.0
Q92800,0,747,37,312,5.0,346.0
Q92804,0,592,15,454,1.0,32.0
Q92837,0,279,18,883,2.0,254.0
Q92847,0,366,27,774,3.0,84.0
Q92854,0,862,30,241,1.0,29.0
Q92871,0,262,8,906,1.0,11.0
Q92886,0,237,31,937,2.0,122.0
Q92900,1,1129,123,136,2.0,22.0
Q92905,0,334,77,813,2.0,33.0
Q92913,0,245,11,924,3.0,93.0
Q92945,1,711,18,344,2.0,178.0
Q92973,0,898,18,220,1.0,53.0
Q93009,1,1102,158,141,5.0,64.0
Q969F2,0,451,30,642,2.0,434.0
Q969R2,0,916,7,207,1.0,184.0
Q969S2,0,332,12,815,1.0,74.0
Q96AC1,0,680,55,369,3.0,66.0
Q96AE4,0,644,21,344,1.0,31.0
Q96AY2,1,570,22,480,1.0,34.0
Q96B02,0,151,28,1072,1.0,10.0
Q96B97,1,665,93,381,1.0,101.0
Q96BT7,0,664,29,383,2.0,25.0
Q96C36,0,320,10,827,1.0,27.0
Q96C86,0,337,26,811,1.0,37.0
Q96CV9,0,577,259,470,1.0,27.0
Q96DE5,0,110,12,1128,1.0,51.0
Q96E09,1,287,25,874,3.0,207.0
Q96E14,0,147,11,1075,1.0,16.0
Q96EP1,0,664,17,384,1.0,27.0
Q96EQ8,0,232,32,948,1.0,32.0
Q96F81,0,1524,3,63,8.0,797.0
Q96F86,0,508,59,555,2.0,112.0
Q96FI4,0,390,6,745,2.0,156.0
Q96FQ6,0,103,13,1138,2.0,42.0
Q96G97,0,398,33,733,2.0,238.0
Q96GC6,0,653,7,394,3.0,391.0
Q96GD4,0,344,118,726,1.0,16.0
Q96GU1,0,130,2,1100,1.0,111.0
Q96GX5,0,879,12,230,1.0,25.0
Q96H20,0,258,84,910,1.0,25.0
Q96IZ0,0,340,20,807,3.0,55.0
Q96MS0,0,1386,3,87,1.0,14.0
Q96N21,0,525,143,527,1.0,18.0
Q96NI6,1,719,5,340,2.0,97.0
Q96NW4,0,1050,24,157,2.0,62.0
Q96PD5,0,576,8,473,1.0,45.0
Q96PM5,0,261,63,907,1.0,29.0
Q96PU5,0,975,75,182,1.0,81.0
Q96PU8,0,341,64,805,3.0,240.0
Q96PY5,0,1086,1,145,1.0,55.0
Q96Q11,0,434,35,666,2.0,63.0
Q96QZ7,0,1491,394,69,1.0,26.0
Q96RD7,0,426,33,681,2.0,81.0
Q96RF0,0,628,42,415,1.0,166.0
Q96RI1,0,486,57,591,1.0,16.0
Q96RJ3,0,184,0,1031,2.0,167.0
Q96RK4,0,519,86,541,2.0,123.0
Q96RS0,0,853,14,248,1.0,16.0
Q96ST2,0,819,14,272,2.0,394.0
Q96T21,0,854,10,246,2.0,679.0
Q96T58,0,3664,22,5,1.0,25.0
Q96T88,0,793,85,283,4.0,78.0
Q99075,0,208,21,991,1.0,34.0
Q99250,0,2005,12,29,7.0,890.0
Q99453,0,314,15,836,2.0,67.0
Q99523,0,831,73,260,1.0,12.0
Q99598,0,290,61,870,3.0,66.0
Q99623,0,299,70,858,1.0,20.0
Q99714,0,261,68,908,2.0,40.0
Q99801,0,234,52,946,1.0,113.0
Q99835,0,787,38,288,1.0,102.0
Q99958,0,501,28,569,1.0,11.0
Q99967,1,270,55,897,4.0,153.0
Q99986,0,396,57,734,3.0,65.0
Q9BPU6,0,564,28,478,1.0,72.0
Q9BPZ7,0,522,72,534,1.0,275.0
Q9BQ15,0,211,34,984,4.0,213.0
Q9BQ50,0,236,7,941,1.0,10.0
Q9BQB4,0,213,29,979,3.0,124.0
Q9BRG1,0,176,56,1040,1.0,13.0
Q9BRT9,0,223,28,961,1.0,20.0
Q9BRX5,0,216,23,975,1.0,23.0
Q9BRZ2,0,755,13,309,1.0,17.0
Q9BS26,0,406,17,722,2.0,65.0
Q9BSQ5,0,444,27,651,2.0,75.0
Q9BSY4,0,110,3,1129,1.0,16.0
Q9BTL3,1,118,61,1115,1.0,44.0
Q9BTT0,1,268,6,899,1.0,28.0
Q9BU02,0,230,3,950,1.0,16.0
Q9BUH6,0,204,26,1000,2.0,86.0
Q9BUL9,0,199,52,1009,2.0,63.0
Q9BUQ8,0,820,26,271,6.0,509.0
Q9BUR4,0,548,70,503,5.0,228.0
Q9BV68,0,311,38,842,1.0,26.0
Q9BVI0,0,1012,9,173,1.0,16.0
Q9BX66,0,1292,19,103,1.0,17.0
Q9BXJ9,0,866,40,235,4.0,181.0
Q9BXW4,0,147,74,1076,1.0,12.0
Q9BY41,0,377,23,596,1.0,12.0
Q9BYC5,0,575,7,476,2.0,107.0
Q9BYF1,0,805,261,279,1.0,37.0
Q9BYG3,1,293,14,867,1.0,44.0
Q9BYI3,0,521,14,538,1.0,105.0
Q9BZE9,0,553,26,496,1.0,56.0
Q9BZV1,0,441,55,657,3.0,420.0
Q9BZZ5,0,524,13,528,3.0,114.0
Q9C000,0,1473,76,75,1.0,20.0
Q9C0C7,0,1298,64,102,1.0,15.0
Q9GZN7,0,287,6,875,1.0,10.0
Q9GZU1,1,580,33,467,3.0,123.0
Q9GZZ9,1,404,66,725,1.0,80.0
Q9H078,0,707,21,348,1.0,20.0
Q9H0E2,1,274,107,888,4.0,159.0
Q9H0W8,0,520,54,540,4.0,518.0
Q9H1A4,0,1944,7,33,18.0,535.0
Q9H1D0,0,765,38,301,2.0,142.0
Q9H211,0,546,41,504,2.0,123.0
Q9H2Y7,0,1883,2,40,1.0,257.0
Q9H3L0,0,296,19,863,2.0,51.0
Q9H3M7,0,391,19,741,1.0,18.0
Q9H3P2,0,528,29,524,1.0,340.0
Q9H4H8,0,585,36,461,1.0,69.0
Q9H4L7,0,1026,28,169,2.0,93.0
Q9H5I1,0,410,31,718,1.0,14.0
Q9H6Z4,0,567,18,484,1.0,15.0
Q9H816,0,532,44,519,1.0,22.0
Q9H832,0,354,16,790,2.0,127.0
Q9H875,0,184,13,1032,2.0,92.0
Q9H8Y8,0,452,236,639,2.0,488.0
Q9H900,0,591,9,457,5.0,95.0
Q9H981,0,624,18,416,1.0,107.0
Q9H9E3,0,785,29,291,1.0,12.0
Q9H9Q4,0,299,48,859,1.0,71.0
Q9H9R9,0,158,0,1065,1.0,158.0
Q9HAN9,0,279,39,884,1.0,38.0
Q9HAU5,1,1272,50,105,10.0,445.0
Q9HAV4,0,1204,26,123,8.0,185.0
Q9HB71,1,228,34,956,1.0,33.0
Q9HBA0,0,871,34,232,2.0,281.0
Q9HC35,0,981,17,179,1.0,20.0
Q9HC77,0,1338,43,96,2.0,100.0
Q9HCB6,0,807,6,277,3.0,39.0
Q9HCJ0,1,1936,42,35,1.0,22.0
Q9HD26,0,462,104,624,2.0,55.0
Q9HD36,0,204,41,1001,1.0,15.0
Q9NP70,0,447,9,646,5.0,1141.0
Q9NP98,0,299,67,860,7.0,1162.0
Q9NPD8,0,197,27,1016,1.0,41.0
Q9NPF0,0,282,15,881,2.0,82.0
Q9NPI8,0,374,9,768,2.0,36.0
Q9NPJ4,0,139,18,1087,1.0,101.0
Q9NQA5,0,729,7,301,2.0,278.0
Q9NQB0,1,619,107,425,4.0,253.0
Q9NQC3,1,1192,76,125,36.0,6321.0
Q9NQC7,0,956,62,190,1.0,17.0
Q9NQI0,0,724,3,338,2.0,440.0
Q9NQS7,0,918,54,204,1.0,21.0
Q9NQX3,0,736,26,328,1.0,12.0
Q9NR00,0,106,16,1134,2.0,212.0
Q9NR28,0,239,62,934,4.0,51.0
Q9NR48,0,2969,5,9,2.0,42.0
Q9NR61,0,685,21,339,3.0,399.0
Q9NRA2,0,495,14,577,2.0,64.0
Q9NRI5,0,854,256,247,1.0,54.0
Q9NRJ3,0,127,31,1104,3.0,147.0
Q9NRN7,0,309,23,846,1.0,16.0
Q9NRR4,0,1374,44,88,5.0,284.0
Q9NRY2,0,104,24,1135,1.0,62.0
Q9NS23,1,344,62,802,2.0,62.0
Q9NT62,0,314,44,837,1.0,30.0
Q9NUM4,0,274,17,889,2.0,139.0
Q9NV23,0,265,2,903,3.0,60.0
Q9NVS9,0,261,14,909,1.0,48.0
Q9NW15,0,660,7,388,5.0,77.0
Q9NWW9,0,162,13,1062,1.0,12.0
Q9NX24,0,153,23,1069,1.0,22.0
Q9NX46,0,363,38,779,2.0,23.0
Q9NX55,0,121,22,1113,3.0,363.0
Q9NXG6,0,502,4,566,2.0,40.0
Q9NXV2,0,234,6,947,2.0,36.0
Q9NY12,0,217,19,973,2.0,120.0
Q9NYB9,0,513,298,548,1.0,358.0
Q9NYV4,0,1490,18,70,1.0,41.0
Q9NZ94,0,848,18,251,10.0,1180.0
Q9NZC2,1,230,86,951,2.0,62.0
Q9NZD4,0,102,11,1142,1.0,11.0
Q9NZI8,0,577,49,471,2.0,99.0
Q9P2K3,0,495,99,578,2.0,420.0
Q9UBB5,0,411,35,714,1.0,119.0
Q9UBB9,0,837,325,258,3.0,1050.0
Q9UBE0,0,346,32,800,8.0,182.0
Q9UBK2,1,798,42,282,5.0,1095.0
Q9UBK8,0,698,22,354,3.0,80.0
Q9UBP0,0,616,85,428,2.0,190.0
Q9UBR1,0,384,14,751,1.0,32.0
Q9UBT2,1,640,37,402,8.0,294.0
Q9UBT3,0,224,4,960,2.0,67.0
Q9UBU7,0,674,17,375,1.0,39.0
Q9UBU9,0,619,122,426,2.0,39.0
Q9UBV7,1,327,22,820,2.0,52.0
Q9UBW5,0,565,13,485,1.0,37.0
Q9UDY8,1,824,67,265,3.0,42.0
Q9UER7,0,740,193,322,6.0,679.0
Q9UGL1,0,1544,21,53,12.0,464.0
Q9UHB7,1,1163,26,128,4.0,913.0
Q9UHD9,0,624,270,417,1.0,127.0
Q9UHK0,0,495,40,579,1.0,10.0
Q9UIF9,0,1905,8,37,3.0,134.0
Q9UII6,0,198,16,967,1.0,24.0
Q9UIW2,0,1896,5,38,1.0,14.0
Q9UJX2,0,597,113,448,2.0,65.0
Q9UJX3,0,565,21,486,3.0,100.0
Q9UJX4,0,755,11,310,5.0,185.0
Q9UJX5,0,808,26,276,7.0,199.0
Q9UJX6,0,822,15,269,6.0,172.0
Q9UJY1,0,196,44,1018,2.0,115.0
Q9UJY5,0,639,63,405,3.0,75.0
Q9UK55,0,444,6,652,2.0,77.0
Q9UK59,0,544,7,506,1.0,151.0
Q9UKK9,0,219,27,968,1.0,13.0
Q9UKL0,0,485,37,578,2.0,352.0
Q9UKT4,0,447,45,647,7.0,547.0
Q9UKT5,0,387,46,747,1.0,30.0
Q9UKV8,0,859,195,245,6.0,118.0
Q9UKX7,0,468,38,616,1.0,62.0
Q9UKY0,0,176,5,1041,1.0,28.0
Q9UL18,0,857,78,245,3.0,51.0
Q9ULK4,0,1368,20,90,1.0,34.0
Q9UM07,0,663,36,385,5.0,65.0
Q9UM11,0,496,42,575,4.0,90.0
Q9UMD9,1,1497,17,68,1.0,454.0
Q9UMR2,1,479,15,602,1.0,37.0
Q9UMS4,0,504,77,563,1.0,26.0
Q9UMX1,0,484,100,593,1.0,82.0
Q9UMY1,0,257,6,911,1.0,94.0
Q9UMZ1,0,101,0,1125,6.0,606.0
Q9UN86,0,482,47,597,1.0,10.0
Q9UNA0,0,930,9,198,1.0,72.0
Q9UNL4,0,249,43,920,1.0,70.0
Q9UPP1,0,1060,46,151,1.0,13.0
Q9UPR3,0,1016,18,171,1.0,23.0
Q9UPY3,1,1922,109,36,2.0,38.0
Q9UQ13,0,582,34,466,2.0,170.0
Q9UQ35,0,2752,35,15,6.0,16344.0
Q9UQ80,0,394,19,738,1.0,32.0
Q9UQC2,0,676,48,373,1.0,21.0
Q9Y237,0,131,23,1098,2.0,94.0
Q9Y239,0,953,62,191,1.0,28.0
Q9Y258,0,94,29,1150,1.0,11.0
Q9Y261,0,457,25,633,1.0,19.0
Q9Y296,0,219,6,969,1.0,15.0
Q9Y2G2,0,537,67,513,1.0,162.0
Q9Y2M5,0,609,71,433,1.0,14.0
Q9Y2Z0,0,365,17,776,2.0,30.0
Q9Y3B4,0,125,30,1109,2.0,46.0
Q9Y3D6,0,152,70,1070,1.0,25.0
Q9Y3E7,0,222,82,963,1.0,16.0
Q9Y3M2,0,126,46,1108,7.0,330.0
Q9Y4B6,0,1507,36,66,1.0,14.0
Q9Y4D1,0,1078,23,148,1.0,29.0
Q9Y4F1,0,1045,1,161,1.0,48.0
Q9Y4K0,0,774,37,295,1.0,12.0
Q9Y4P1,0,393,59,739,4.0,99.0
Q9Y4U1,0,282,30,882,1.0,52.0
Q9Y572,1,518,53,543,8.0,583.0
Q9Y5B0,1,961,20,186,4.0,179.0
Q9Y5C1,0,460,27,627,1.0,10.0
Q9Y5P4,0,624,61,418,4.0,151.0
Q9Y5S1,0,764,5,232,1.0,72.0
Q9Y5S9,0,174,80,1044,1.0,14.0
Q9Y613,1,1164,17,127,2.0,122.0
Q9Y653,0,693,46,360,2.0,41.0
Q9Y696,0,253,28,915,1.0,14.0
Q9Y6C2,0,1016,72,172,2.0,38.0
Q9Y6D6,0,1849,43,44,2.0,27.0
Q9Y6G9,0,523,29,529,2.0,272.0
Q9Y6H6,0,103,16,1139,2.0,36.0
Q9Y6I3,1,576,14,474,1.0,18.0
Q9Y6K1,1,912,48,208,2.0,35.0
Q9Y6K9,0,419,225,693,3.0,107.0
Q9Y6Q9,1,1424,52,82,2.0,99.0
Q9Y6X9,0,1032,29,167,1.0,53.0
S6B291,0,466,0,619,1.0,226.0
